Job Title,Founded,Size,Max,Min,Level of expireince,experience,cat
Quantitative Researcher – Full Time (US),20,1,147000,76000,1,1,5
Senior Data Scientist,25,1,147000,76000,2,2,3
Data Analyst Alteryx Experience MUST,25,3,147000,76000,2,1,2
Senior Data Analyst,18,3,147000,76000,2,3,3
Senior Data Scientist,19,1,147000,76000,2,5,3
Data Engineer,21,1,147000,76000,1,3,2
Data Engineer,15,1,147000,76000,1,2,2
"Senior Data Scientist in Chicago, IL at Key Bank",173,3,147000,76000,2,5,3
Big Data Engineer - Chicago - Future Opportunity,21,1,147000,76000,1,2,2
Senior Data & Machine Learning Scientist,23,1,109000,62000,2,5,3
Big Data Machine Learning Engineer,173,3,109000,62000,1,8,2
Data Engineer,7,1,109000,62000,3,3,2
Data Engineer,20,1,109000,62000,1,5,2
Data Analyst,14,1,109000,62000,2,3,2
Senior Data & Machine Learning Scientist,7,1,109000,62000,2,5,3
Senior Data Analyst,31,1,109000,62000,2,1,3
Data Engineer,33,1,109000,62000,1,3,2
DATA ENGINEER,104,3,109000,62000,1,5,2
